facility_name,site_code,operator_name,operator_parent,country,metro,city,address,it_capacity_mw,colo_cages,private_cabinets,partial_cabinets,bare_metal,remote_hands,public_cloud,certifications,leaseable_signal,nearest_facilities,operator_website,facility_url,datacenters_com_url,cloudscene_url,relevance_score,relevance_reason,tags,confidence,exclude_from_outreach,scraped_at,source_url,notes
Elea BEL1,,Elea Data Centers,,Brazil,Belem,Belém,"508, Passagem Belo Horizonte, 256 - Barreiro",100.0,True,True,True,False,True,False,,Yes,Piauí Link Data Center (752.9 km); Enegix Piauí (766.81 km); Wayscom Data Center (822.23 km); IDX Data Centers & IT Services (976.96 km); TO HOST Data Centers (978.87 km),https://www.datacentermap.com/visit/datacenter/elea-bel1/,https://www.datacentermap.com/brazil/belem/elea-bel1/,,,4,Major or AI/wholesale colo operator (commercial colo) though outside a priority metro.,"Colo, AIMention, MultiSiteOperator",High,False,2026-08-07T20:10:38Z,https://www.datacentermap.com/brazil/belem/elea-bel1/,"Operator HQ: Botafogo, Rio de Janeiro. Services offered: Cages, Private Cabinets, Partial Cabinets, Remote Hands."
Elea BSB1,BSB1,Elea Data Centers,,Brazil,Brasilia,Brasilia,Scn Q 3,,True,True,True,False,True,False,,Yes,Engetronics Brasilia (0.14 km); PIX G8 Brasilia (0.57 km); IDC Centro (1.46 km); NWI Datacenter Brasília SIG (2.67 km); Elea BSB2 (2.79 km),https://www.datacentermap.com/visit/datacenter/elea-digital-bsb1/,https://www.datacentermap.com/brazil/brasilia/elea-digital-bsb1/,,,4,Major or AI/wholesale colo operator (commercial colo) though outside a priority metro.,"Colo, GovCaptive, MultiSiteOperator",High,False,2026-08-07T20:11:29Z,https://www.datacentermap.com/brazil/brasilia/elea-digital-bsb1/,"Operator HQ: Botafogo, Rio de Janeiro. Services offered: Cages, Private Cabinets, Partial Cabinets, Remote Hands."
Elea BSB2,BSB2,Elea Data Centers,,Brazil,Brasilia,Brasilia,Sig Q 2,,True,True,True,False,True,False,,Yes,NWI Datacenter Brasília SIG (0.32 km); IDC Centro (2 km); PIX G8 Brasilia (2.27 km); Engetronics Brasilia (2.7 km); Elea BSB1 (2.79 km),https://www.datacentermap.com/visit/datacenter/elea-digital-bsb2/,https://www.datacentermap.com/brazil/brasilia/elea-digital-bsb2/,,,4,Major or AI/wholesale colo operator (commercial colo) though outside a priority metro.,"Colo, GovCaptive, MultiSiteOperator",High,False,2026-08-07T20:11:33Z,https://www.datacentermap.com/brazil/brasilia/elea-digital-bsb2/,"Operator HQ: Botafogo, Rio de Janeiro. Services offered: Cages, Private Cabinets, Partial Cabinets, Remote Hands."
Ascenty Hortolandia Campus,,Ascenty Data Centers,,Brazil,Campinas,Hortolândia,R. Papa João Paulo II 4,85.0,False,False,False,False,False,False,,Yes,,https://www.datacentermap.com/visit/datacenter/ascenty-hortolandia-campus/,https://www.datacentermap.com/brazil/campinas/ascenty-hortolandia-campus/,,,4,Major or AI/wholesale colo operator (commercial colo) though outside a priority metro.,"Colo, MultiSiteOperator",Med,False,2026-08-07T20:12:19Z,https://www.datacentermap.com/brazil/campinas/ascenty-hortolandia-campus/,"Operator HQ: Vinhedo, Sao Paulo."
Ascenty - Hortolandia HTL6,HTL06,Ascenty Data Centers,,Brazil,Campinas,Hortolândia,Rua Papa João Paulo II,,True,True,True,False,True,False,,Yes,Ascenty - Hortolandia HTL5 (0.11 km); Ascenty Hortolandia Campus (0.18 km); Ascenty - Hortolandia HTL2 (0.22 km); Ascenty - Hortolandia HTL3 (0.26 km); Ascenty - Hortolandia HTL4 (0.28 km),https://www.datacentermap.com/visit/datacenter/ascenty-hortolandia-htl6/,https://www.datacentermap.com/brazil/campinas/ascenty-hortolandia-htl6/,,,4,Major or AI/wholesale colo operator (commercial colo) though outside a priority metro.,"Colo, MultiSiteOperator",High,False,2026-08-07T20:12:28Z,https://www.datacentermap.com/brazil/campinas/ascenty-hortolandia-htl6/,"Operator HQ: Vinhedo, Sao Paulo. Services offered: Suites, Cages, Private Cabinets, Partial Cabinets, Remote Hands."
Ascenty - Hortolandia HTL4,HTL04,Ascenty Data Centers,,Brazil,Campinas,Hortolândia,"Rua Papa João Paulo II, 4",,True,True,True,False,True,False,,Yes,Ascenty - Hortolandia HTL2 (0.06 km); Ascenty - Hortolandia HTL3 (0.11 km); Ascenty Hortolandia Campus (0.12 km); Ascenty - Hortolandia HTL1 (0.18 km); Ascenty - Hortolandia HTL5 (0.18 km),https://www.datacentermap.com/visit/datacenter/ascenty-htl04/,https://www.datacentermap.com/brazil/campinas/ascenty-htl04/,,,4,Major or AI/wholesale colo operator (commercial colo) though outside a priority metro.,"Colo, MultiSiteOperator",High,False,2026-08-07T20:12:32Z,https://www.datacentermap.com/brazil/campinas/ascenty-htl04/,"Operator HQ: Vinhedo, Sao Paulo. Services offered: Suites, Cages, Footprints, Private Cabinets, Partial Cabinets, Remote Hands."
Ascenty - Hortolandia HTL5,HTL05,Ascenty Data Centers,,Brazil,Campinas,Hortolândia,"Rua Papa João Paulo II, 4",,True,True,True,False,True,False,,Yes,Ascenty Hortolandia Campus (0.07 km); Ascenty - Hortolandia HTL6 (0.11 km); Ascenty - Hortolandia HTL2 (0.13 km); Ascenty - Hortolandia HTL4 (0.18 km); Ascenty - Hortolandia HTL1 (0.18 km),https://www.datacentermap.com/visit/datacenter/ascenty-htl05/,https://www.datacentermap.com/brazil/campinas/ascenty-htl05/,,,4,Major or AI/wholesale colo operator (commercial colo) though outside a priority metro.,"Colo, MultiSiteOperator",High,False,2026-08-07T20:12:37Z,https://www.datacentermap.com/brazil/campinas/ascenty-htl05/,"Operator HQ: Vinhedo, Sao Paulo. Services offered: Suites, Cages, Footprints, Private Cabinets, Partial Cabinets, Remote Hands."
Ascenty - Sumare SUM3,SUM03,Ascenty Data Centers,,Brazil,Campinas,Sumaré,"Rodovia Anhanguera s/n, Parque das Industrias (Nova Veneza)",,True,True,True,False,True,False,,Yes,Ascenty Sumare Campus (0.07 km); Ascenty - Sumare SUM4 (0.09 km); Ascenty - Sumare SUM1 (0.14 km); Ascenty - Sumare SUM5 (0.16 km); Ascenty - Sumare SUM2 (0.19 km),https://www.datacentermap.com/visit/datacenter/ascenty-sum03/,https://www.datacentermap.com/brazil/campinas/ascenty-sum03/,,,4,Major or AI/wholesale colo operator (commercial colo) though outside a priority metro.,"Colo, MultiSiteOperator",High,False,2026-08-07T20:12:41Z,https://www.datacentermap.com/brazil/campinas/ascenty-sum03/,"Operator HQ: Vinhedo, Sao Paulo. Services offered: Suites, Cages, Footprints, Private Cabinets, Partial Cabinets, Remote Hands."
Ascenty - Sumare SUM4,SUM04,Ascenty Data Centers,,Brazil,Campinas,Sumaré,"Rodovia Anhanguera s/n, Parque das Industrias (Nova Veneza)",,True,True,True,False,True,False,,Yes,Ascenty Sumare Campus (0.06 km); Ascenty - Sumare SUM5 (0.09 km); Ascenty - Sumare SUM3 (0.09 km); Ascenty - Sumare SUM2 (0.14 km); Ascenty - Sumare SUM1 (0.15 km),https://www.datacentermap.com/visit/datacenter/ascenty-sum04/,https://www.datacentermap.com/brazil/campinas/ascenty-sum04/,,,4,Major or AI/wholesale colo operator (commercial colo) though outside a priority metro.,"Colo, MultiSiteOperator",High,False,2026-08-07T20:12:45Z,https://www.datacentermap.com/brazil/campinas/ascenty-sum04/,"Operator HQ: Vinhedo, Sao Paulo. Services offered: Suites, Cages, Footprints, Private Cabinets, Partial Cabinets, Remote Hands."
Ascenty - Sumare SUM5,SUM05,Ascenty Data Centers,,Brazil,Campinas,Sumaré,"Rodovia Anhanguera s/n, Parque das Industrias (Nova Veneza)",,True,True,True,False,True,False,,Yes,Ascenty - Sumare SUM4 (0.09 km); Ascenty Sumare Campus (0.15 km); Ascenty - Sumare SUM3 (0.16 km); Ascenty - Sumare SUM2 (0.21 km); Ascenty - Sumare SUM1 (0.24 km),https://www.datacentermap.com/visit/datacenter/ascenty-sumare-sum5/,https://www.datacentermap.com/brazil/campinas/ascenty-sumare-sum5/,,,4,Major or AI/wholesale colo operator (commercial colo) though outside a priority metro.,"Colo, MultiSiteOperator",High,False,2026-08-07T20:12:54Z,https://www.datacentermap.com/brazil/campinas/ascenty-sumare-sum5/,"Operator HQ: Vinhedo, Sao Paulo. Services offered: Suites, Cages, Footprints, Private Cabinets, Partial Cabinets, Remote Hands."
Ascenty - Vinhedo VIN2,VIN02,Ascenty Data Centers,,Brazil,Campinas,Vinhedo,"Av. 2, 50, Quadra G1, Distrito Industrial Benedito Storani",,True,True,True,False,True,False,Tier 3; PCI-DSS; ISO 27001,Yes,Ascenty - Vinhedo VIN1 (0.14 km); Scala Data Centers SVCPJD02 (11.55 km); Scala Data Centers SVCPJD01 (12.01 km); Ascenty - Jundiai JDI1 (14.08 km); Ascenty - Jundiai JDI2 (14.17 km),https://www.datacentermap.com/visit/datacenter/ascenty-vin02/,https://www.datacentermap.com/brazil/campinas/ascenty-vin02/,,,4,Major or AI/wholesale colo operator (commercial colo) though outside a priority metro.,"Colo, MultiSiteOperator",High,False,2026-08-07T20:12:58Z,https://www.datacentermap.com/brazil/campinas/ascenty-vin02/,"Operator HQ: Vinhedo, Sao Paulo. Services offered: Suites, Cages, Footprints, Private Cabinets, Partial Cabinets, Remote Hands."
Ascenty - Campinas CPS1,CPS01,Ascenty Data Centers,,Brazil,Campinas,Campinas,"Avenida Pierre Simon de Laplace, 1211",,True,True,True,False,True,False,Tier 3; ISO 27001,Yes,Ascenty - Hortolandia HTL3 (5.81 km); Ascenty - Hortolandia HTL4 (5.83 km); Ascenty - Hortolandia HTL2 (5.87 km); Ascenty Hortolandia Campus (5.95 km); Ascenty - Hortolandia HTL1 (5.97 km),https://www.datacentermap.com/visit/datacenter/ascenty/,https://www.datacentermap.com/brazil/campinas/ascenty/,,,4,Major or AI/wholesale colo operator (commercial colo) though outside a priority metro.,"Colo, MultiSiteOperator",High,False,2026-08-07T20:13:02Z,https://www.datacentermap.com/brazil/campinas/ascenty/,"Operator HQ: Vinhedo, Sao Paulo. Services offered: Suites, Cages, Footprints, Private Cabinets, Partial Cabinets, Remote Hands."
Ascenty - Vinhedo VIN1,VIN01,Ascenty Data Centers,,Brazil,Campinas,Vinhedo,"Av. 2, 50, Quadra G1, Distrito Industrial Benedito Storani",24.0,True,True,True,False,True,False,Tier 3; PCI-DSS; ISO 27001,Yes,Ascenty - Vinhedo VIN2 (0.14 km); Scala Data Centers SVCPJD02 (11.57 km); Scala Data Centers SVCPJD01 (12.05 km); Ascenty - Jundiai JDI1 (14.12 km); Ascenty - Jundiai JDI2 (14.21 km),https://www.datacentermap.com/visit/datacenter/av-2-50-quadra-g1/,https://www.datacentermap.com/brazil/campinas/av-2-50-quadra-g1/,,,4,Major or AI/wholesale colo operator (commercial colo) though outside a priority metro.,"Colo, MultiSiteOperator",High,False,2026-08-07T20:13:06Z,https://www.datacentermap.com/brazil/campinas/av-2-50-quadra-g1/,"Operator HQ: Vinhedo, Sao Paulo. Services offered: Suites, Cages, Footprints, Private Cabinets, Partial Cabinets, Remote Hands."
