operator_name,parent_company,countries_present,facility_count_wave_A,total_mw_known,mw_coverage_pct,has_colo_wholesale,ai_or_gpu_mentions,max_relevance,partnership_openness_guess,priority_for_outreach,source_urls
Scala Data Centers,"DigitalBridge, it was developed to meet a","Brazil, Colombia, Mexico",33,56.0,6%,True,"AI, artificial intelligence, liquid cooling",5,High,Yes,https://www.datacentermap.com/brazil/campinas/scala-data-centers-svcpcp02/ | https://www.datacentermap.com/brazil/campinas/scala-data-centers-svcpcp03/ | https://www.datacentermap.com/brazil/campinas/scala-svcpcp01/ | https://www.datacentermap.com/brazil/fortaleza/scala-data-centers-fortaleza-campus/ | https://www.datacentermap.com/brazil/fortaleza/scala-data-centers-sforpf02/ | https://www.datacentermap.com/brazil/fortaleza/scala-sforpf01/ | https://www.datacentermap.com/brazil/porto-alegre/scala-ai-city/ | https://www.datacentermap.com/brazil/porto-alegre/scala-spoapa01/ | https://www.datacentermap.com/brazil/rio-de-janeiro/scala-data-centers-sgigsm02/ | https://www.datacentermap.com/brazil/rio-de-janeiro/scala-data-centers-sgigsm03/ | https://www.datacentermap.com/brazil/rio-de-janeiro/scala-sgigsm01/ | https://www.datacentermap.com/brazil/sao-paulo/scala-data-centers-sgrutb10/ | https://www.datacentermap.com/brazil/sao-paulo/scala-data-centers-sgrutb11/ | https://www.datacentermap.com/brazil/sao-paulo/scala-data-centers-sgrutb14/ | https://www.datacentermap.com/brazil/sao-paulo/scala-data-centers-sgrutb15/ | https://www.datacentermap.com/brazil/sao-paulo/scala-data-centers-svcpjd01/ | https://www.datacentermap.com/brazil/sao-paulo/scala-data-centers-svcpjd02/ | https://www.datacentermap.com/brazil/sao-paulo/scala-sgrusp02/ | https://www.datacentermap.com/brazil/tambore/scala-data-centers-sgrutb06/ | https://www.datacentermap.com/brazil/tambore/scala-data-centers-sgrutb07/ | https://www.datacentermap.com/brazil/tambore/scala-data-centers-sgrutb08/ | https://www.datacentermap.com/brazil/tambore/scala-data-centers-sgrutb09/ | https://www.datacentermap.com/brazil/tambore/scala-data-centers-sgrutb12/ | https://www.datacentermap.com/brazil/tambore/scala-data-centers-tambore-campus/ | https://www.datacentermap.com/brazil/tambore/scala-sgrutb01/ | https://www.datacentermap.com/brazil/tambore/scala-sgrutb03/ | https://www.datacentermap.com/brazil/tambore/scala-sgrutb04/ | https://www.datacentermap.com/brazil/tambore/scala-sgrutb05/ | https://www.datacentermap.com/colombia/bogota/scala-data-centers-sbogzb01/ | https://www.datacentermap.com/colombia/bogota/scala-data-centers-sbogzb02/ | https://www.datacentermap.com/colombia/bogota/scala-data-centers-sbogzm01/ | https://www.datacentermap.com/colombia/bogota/scala-data-centers-sbogzt01/ | https://www.datacentermap.com/mexico/mexico-city/scala-smextp01/ | https://www.datacenters.com/providers/scala-data-centers
Ascenty Data Centers,Unknown,"Brazil, Colombia, Mexico",28,0,0%,True,"AI, artificial intelligence",5,High,Yes,https://www.datacentermap.com/brazil/campinas/ascenty-hortolandia-htl6/ | https://www.datacentermap.com/brazil/campinas/ascenty-htl04/ | https://www.datacentermap.com/brazil/campinas/ascenty-htl05/ | https://www.datacentermap.com/brazil/campinas/ascenty-sum03/ | https://www.datacentermap.com/brazil/campinas/ascenty-sum04/ | https://www.datacentermap.com/brazil/campinas/ascenty-sumare-sum5/ | https://www.datacentermap.com/brazil/campinas/ascenty-vin02/ | https://www.datacentermap.com/brazil/campinas/ascenty/ | https://www.datacentermap.com/brazil/campinas/av-2-50-quadra-g1/ | https://www.datacentermap.com/brazil/campinas/r-papa-joao-paulo-ii-4/ | https://www.datacentermap.com/brazil/campinas/rodovia-anhanguera-bldg-1/ | https://www.datacentermap.com/brazil/campinas/rodovia-anhanguera-bldg-2/ | https://www.datacentermap.com/brazil/campinas/rua-papa-joao-paulo-ii-4-building-2/ | https://www.datacentermap.com/brazil/campinas/rua-papa-joao-paulo-ii-4-building-3/ | https://www.datacentermap.com/brazil/fortaleza/rua-quatorze-1161/ | https://www.datacentermap.com/brazil/sao-paulo/ascenty-jundiai1/ | https://www.datacentermap.com/brazil/sao-paulo/ascenty-jundiai2/ | https://www.datacentermap.com/brazil/sao-paulo/ascenty-sao-paulo-sp5/ | https://www.datacentermap.com/brazil/sao-paulo/ascenty-sao-paulo-sp6/ | https://www.datacentermap.com/brazil/sao-paulo/ascenty-sp4/ | https://www.datacentermap.com/brazil/sao-paulo/av-roberto-pinto-sobrinho-350-1/ | https://www.datacentermap.com/brazil/sao-paulo/av-roberto-pinto-sobrinho-350-2/ | https://www.datacentermap.com/brazil/sao-paulo/av-roberto-pinto-sobrinho-350-3/ | https://www.datacentermap.com/colombia/bogota/ascenty-bogota-bog1/ | https://www.datacentermap.com/colombia/bogota/ascenty-bogota-bog2/ | https://www.datacentermap.com/mexico/queretaro/ascenty-queretaro-qro3/ | https://www.datacentermap.com/mexico/queretaro/camino-a-nativitas-800-colon/ | https://www.datacentermap.com/mexico/queretaro/carretera-estatal-100-colon/ | https://www.datacenters.com/providers/ascenty
Equinix,Unknown,"Brazil, Colombia, Mexico",17,0,0%,True,"artificial intelligence, gpu",5,High,Yes,https://www.datacentermap.com/brazil/rio-de-janeiro/equinix-rj1/ | https://www.datacentermap.com/brazil/rio-de-janeiro/equinix-rj2/ | https://www.datacentermap.com/brazil/rio-de-janeiro/equinix-rj3/ | https://www.datacentermap.com/brazil/sao-paulo/equinix-sp1/ | https://www.datacentermap.com/brazil/sao-paulo/equinix-sp2/ | https://www.datacentermap.com/brazil/sao-paulo/equinix-sp3/ | https://www.datacentermap.com/brazil/sao-paulo/equinix-sp4/ | https://www.datacentermap.com/brazil/sao-paulo/equinix-sp5x/ | https://www.datacentermap.com/brazil/sao-paulo/equinix-sp6/ | https://www.datacentermap.com/brazil/sao-paulo/equinix-sp7/ | https://www.datacentermap.com/colombia/bogota/equinix-bg1/ | https://www.datacentermap.com/colombia/bogota/equinix-bg2/ | https://www.datacentermap.com/mexico/mexico-city/equinix-mx1/ | https://www.datacentermap.com/mexico/mexico-city/equinix-mx2/ | https://www.datacentermap.com/mexico/monterrey/equinix-mo1/ | https://www.datacentermap.com/mexico/monterrey/equinix-mo2/ | https://www.datacentermap.com/mexico/queretaro/equinix-mx3x/ | https://www.datacenters.com/providers/equinix/data-center-locations
Elea Data Centers,Unknown,Brazil,14,0,0%,True,"AI, artificial intelligence",5,High,Yes,https://www.datacentermap.com/brazil/belem/elea-bel1/ | https://www.datacentermap.com/brazil/brasilia/elea-digital-bsb1/ | https://www.datacentermap.com/brazil/brasilia/elea-digital-bsb2/ | https://www.datacentermap.com/brazil/curitiba/elea-digital-cta1/ | https://www.datacentermap.com/brazil/porto-alegre/elea-digital-poa1/ | https://www.datacentermap.com/brazil/porto-alegre/elea-digital-poa2/ | https://www.datacentermap.com/brazil/rio-de-janeiro/elea-digital-rjo1/ | https://www.datacentermap.com/brazil/rio-de-janeiro/elea-rjo2/ | https://www.datacentermap.com/brazil/rio-de-janeiro/elea-rjo3/ | https://www.datacentermap.com/brazil/rio-de-janeiro/elea-rjo4/ | https://www.datacentermap.com/brazil/rio-de-janeiro/rio-ai-city/ | https://www.datacentermap.com/brazil/sao-paulo/elea-digital-spo1/ | https://www.datacentermap.com/brazil/sao-paulo/elea-digital-spo2/ | https://www.datacentermap.com/brazil/sao-paulo/elea-digital-spo3/ | https://www.datacenters.com/elea-bsb2-brasilia
KIO Networks,Unknown,"Colombia, Mexico",14,4.0,7%,True,"AI, artificial intelligence",5,High,Yes,https://www.datacentermap.com/colombia/bogota/kio-bogot/ | https://www.datacentermap.com/mexico/hermosillo/kio-hermosillo/ | https://www.datacentermap.com/mexico/merida/kio-merida-1/ | https://www.datacentermap.com/mexico/merida/kio-merida-2/ | https://www.datacentermap.com/mexico/mexico-city/kio-mexico-2/ | https://www.datacentermap.com/mexico/mexico-city/kio-networks/ | https://www.datacentermap.com/mexico/mexico-city/kio-santa-fe-4/ | https://www.datacentermap.com/mexico/mexico-city/reditdatapark/ | https://www.datacentermap.com/mexico/mexico-city/xertix-interlomas/ | https://www.datacentermap.com/mexico/mexico-city/xertix/ | https://www.datacentermap.com/mexico/monterrey/xertix-monterrey/ | https://www.datacentermap.com/mexico/queretaro/kio-networks2/ | https://www.datacentermap.com/mexico/queretaro/kio-queretaro-2/ | https://www.datacentermap.com/mexico/toluca/kio-toluca/ | https://www.datacenters.com/providers/kio-networks
CloudHQ,Unknown,"Brazil, Mexico",13,576.0,92%,True,artificial intelligence,5,High,Yes,https://www.datacentermap.com/brazil/campinas/cloudhq-gru1/ | https://www.datacentermap.com/brazil/campinas/cloudhq-gru2/ | https://www.datacentermap.com/brazil/campinas/cloudhq-gru3/ | https://www.datacentermap.com/brazil/campinas/cloudhq-gru4/ | https://www.datacentermap.com/brazil/campinas/cloudhq-gru5/ | https://www.datacentermap.com/brazil/campinas/cloudhq-gru6/ | https://www.datacentermap.com/brazil/rio-de-janeiro/cloudhq-gig1/ | https://www.datacentermap.com/mexico/queretaro/cloudhq-qro1/ | https://www.datacentermap.com/mexico/queretaro/cloudhq-qro2/ | https://www.datacentermap.com/mexico/queretaro/cloudhq-qro3/ | https://www.datacentermap.com/mexico/queretaro/cloudhq-qro4/ | https://www.datacentermap.com/mexico/queretaro/cloudhq-qro5/ | https://www.datacentermap.com/mexico/queretaro/cloudhq-qro6/ | https://www.datacenters.com/providers/cloudhq/data-center-locations
"ODATA, an Aligned Data Centers Company",Aligned Data Centers,"Brazil, Colombia, Mexico",13,342.0,31%,True,"AI, artificial intelligence, high-performance computing, liquid cooling",5,High,Yes,https://www.datacentermap.com/brazil/rio-de-janeiro/aligned-rj-01/ | https://www.datacentermap.com/brazil/sao-paulo/aligned-sp-01/ | https://www.datacentermap.com/brazil/sao-paulo/aligned-sp-03/ | https://www.datacentermap.com/brazil/sao-paulo/odata-sp02-dc1/ | https://www.datacentermap.com/brazil/sao-paulo/odata-sp02-dc2/ | https://www.datacentermap.com/brazil/sao-paulo/odata-sp04/ | https://www.datacentermap.com/colombia/bogota/aligned-bg-01/ | https://www.datacentermap.com/colombia/bogota/odata-bg02/ | https://www.datacentermap.com/colombia/bogota/odata-bg03/ | https://www.datacentermap.com/mexico/guanajato/odata-qr04/ | https://www.datacentermap.com/mexico/queretaro/aligned-qr-01/ | https://www.datacentermap.com/mexico/queretaro/aligned-qr-02/ | https://www.datacentermap.com/mexico/queretaro/odata-qr03/ | https://www.datacenters.com/aligned-odata-dc-sp04
Cirion,Unknown,"Brazil, Colombia, Mexico",8,0,0%,True,artificial intelligence,5,High,Yes,https://www.datacentermap.com/brazil/curitiba/cirion-cur1/ | https://www.datacentermap.com/brazil/rio-de-janeiro/cirion-rio2/ | https://www.datacentermap.com/brazil/rio-de-janeiro/gblx-rio/ | https://www.datacentermap.com/brazil/sao-paulo/lumen-parque-sao-georgia/ | https://www.datacentermap.com/colombia/bogota/cirion-bog1/ | https://www.datacentermap.com/colombia/bogota/lumen-bogota/ | https://www.datacentermap.com/colombia/cali/cirion-cal1/ | https://www.datacentermap.com/mexico/mexico-city/cirion-mex1/ | https://www.datacenters.com/cirion-technologies-bue1
TAKODA,Unknown,"Brazil, Colombia",7,0,0%,True,"artificial intelligence, high-performance computing",5,High,Yes,https://www.datacentermap.com/brazil/rio-de-janeiro/takoda-rio-de-janeiro-rj1/ | https://www.datacentermap.com/brazil/sao-paulo/takdoa-sao-paulo-sp1/ | https://www.datacentermap.com/brazil/sao-paulo/takdoa-sao-paulo-sp2/ | https://www.datacentermap.com/brazil/sao-paulo/takoda-sumare-sp3/ | https://www.datacentermap.com/brazil/sao-paulo/takoda-sumare-sp4/ | https://www.datacentermap.com/brazil/sao-paulo/takoda-sumare-sp5/ | https://www.datacentermap.com/colombia/bogota/takoda-bogot-colombia1/ | https://www.datacenters.com/providers/takoda
Tecto Data Centers,Unknown,"Brazil, Colombia",7,18.0,57%,True,"artificial intelligence, gpu, machine learning",5,High,Yes,https://www.datacentermap.com/brazil/fortaleza/vtal-big-lobster/ | https://www.datacentermap.com/brazil/fortaleza/vtal-mega-lobster/ | https://www.datacentermap.com/brazil/porto-alegre/tecto-tpoa1/ | https://www.datacentermap.com/brazil/porto-alegre/vtal-voa/ | https://www.datacentermap.com/brazil/sao-paulo/tecto-so-paulo-1/ | https://www.datacentermap.com/colombia/barranquilla/vtal-chiva-1/ | https://www.datacentermap.com/colombia/barranquilla/vtal-chiva-2/ | https://www.datacenters.com/providers/tecto
