operator_name,parent_company,countries_present,facility_count_wave_B,total_mw_known,mw_coverage_pct,has_colo_wholesale,ai_or_gpu_mentions,max_relevance,partnership_openness_guess,priority_for_outreach,source_urls
GTD Chile,Unknown,"Chile, Peru",10,8.0,10%,True,artificial intelligence,5,High,Yes,https://www.datacentermap.com/chile/puerto-montt/gtd-puerto-montt/ | https://www.datacentermap.com/chile/santiago/gtd-av-holanda/ | https://www.datacentermap.com/chile/santiago/gtd-huerfanos/ | https://www.datacentermap.com/chile/santiago/gtd-lidice-i/ | https://www.datacentermap.com/chile/santiago/gtd-lidice-ii/ | https://www.datacentermap.com/chile/santiago/gtd-moneda/ | https://www.datacentermap.com/chile/santiago/gtd-panamericana/ | https://www.datacentermap.com/chile/santiago/gtd-providencia/ | https://www.datacentermap.com/peru/lima/gtd-lurin/ | https://www.datacentermap.com/peru/lima/gtd-surco/ | https://www.datacenters.com/gtd-llc-santiago-dc-panamericana
Cirion,Unknown,"Argentina, Chile, Peru",8,0,0%,True,artificial intelligence,5,High,Yes,https://www.datacentermap.com/argentina/buenos-aires/cirion-bue1/ | https://www.datacentermap.com/argentina/cordoba/cirion-cor1/ | https://www.datacentermap.com/argentina/mendoza/cirion-men1/ | https://www.datacentermap.com/argentina/rosario/cirion-ros1/ | https://www.datacentermap.com/chile/santiago/cirion-san1/ | https://www.datacentermap.com/chile/santiago/cirion-san2/ | https://www.datacentermap.com/peru/lima/cirion-lim2/ | https://www.datacentermap.com/peru/lima/lumen-lima/ | https://www.datacenters.com/providers/cirion-technologies/data-center-locations
NextStream,Unknown,"Argentina, Chile, Peru",7,0,0%,True,"AI, artificial intelligence",5,High,Yes,https://www.datacentermap.com/argentina/buenos-aires/nabiax-barracas/ | https://www.datacentermap.com/argentina/buenos-aires/nextstream-velez/ | https://www.datacentermap.com/chile/paine/nabiax-paine/ | https://www.datacentermap.com/chile/santiago/nextstream-apoquindo/ | https://www.datacentermap.com/chile/santiago/nextstream-san-martin/ | https://www.datacentermap.com/peru/lima/nabiax-dc-monterrico/ | https://www.datacentermap.com/peru/lima/nabiax-lince/ | https://www.datacenters.com/providers/nextstream
Equinix,Unknown,"Chile, Peru",6,23.2,67%,True,"artificial intelligence, gpu",5,High,Yes,https://www.datacentermap.com/chile/santiago/equinix-st1/ | https://www.datacentermap.com/chile/santiago/equinix-st2/ | https://www.datacentermap.com/chile/santiago/equinix-st3/ | https://www.datacentermap.com/chile/santiago/equinix-st4/ | https://www.datacentermap.com/chile/santiago/equinix-st5/ | https://www.datacentermap.com/peru/lima/equinix-lm1/ | https://www.datacenters.com/providers/equinix/data-center-locations
Scala Data Centers,"DigitalBridge, it was developed to meet a",Chile,6,0,0%,True,"AI, artificial intelligence",5,High,Yes,https://www.datacentermap.com/chile/santiago/scala-data-centers-ssclhb01/ | https://www.datacentermap.com/chile/santiago/scala-data-centers-ssclhb02/ | https://www.datacentermap.com/chile/santiago/scala-data-centers-sscllp01/ | https://www.datacentermap.com/chile/santiago/scala-data-centers-sscllp02/ | https://www.datacentermap.com/chile/valparaiso/scala-data-centers-ssclcr02/ | https://www.datacentermap.com/chile/valparaiso/scala-ssclcr01/ | https://www.datacenters.com/providers/scala-data-centers
Claro,Unknown,"Argentina, Chile, Peru",5,0,0%,True,artificial intelligence,5,High,Yes,https://www.datacentermap.com/argentina/buenos-aires/claro-data-center-olleros/ | https://www.datacentermap.com/argentina/buenos-aires/claro-data-center-san-telmo/ | https://www.datacentermap.com/argentina/cordoba/claro-data-center-cordoba/ | https://www.datacentermap.com/chile/santiago/claro-data-center-liray/ | https://www.datacentermap.com/peru/lima/claro-data-center-villa-el-salvador/ | https://www.datacenters.com/providers/claro/data-center-locations
EdgeConneX,Unknown,"Argentina, Chile",5,0,0%,True,artificial intelligence,5,High,Yes,https://www.datacentermap.com/argentina/buenos-aires/edgeconnex-bue01/ | https://www.datacentermap.com/chile/santiago/edgeconnex-santiago-scl03/ | https://www.datacentermap.com/chile/santiago/edgeconnex-santiago-scl04/ | https://www.datacentermap.com/chile/santiago/edgeconnex-scl01/ | https://www.datacentermap.com/chile/santiago/edgeconnex-scl02/ | https://www.datacenters.com/providers/edgeconnex/data-center-locations
IFXNetworks,Unknown,"Argentina, Chile",4,0,0%,True,artificial intelligence,5,High,Yes,https://www.datacentermap.com/argentina/buenos-aires/ifx-belgrano/ | https://www.datacentermap.com/chile/santiago/ifx-elbosque/ | https://www.datacentermap.com/chile/santiago/ifx-magnus-i/ | https://www.datacentermap.com/chile/santiago/ifx-phillips/ | https://www.datacenters.com/providers/ifx-networks/data-center-locations
IPXON Networks,Unknown,"Argentina, Chile, Peru",4,0,0%,True,artificial intelligence,5,High,Yes,https://www.datacentermap.com/argentina/buenos-aires/ipxon-buenos-aires/ | https://www.datacentermap.com/argentina/cordoba/ipxon-crdoba/ | https://www.datacentermap.com/chile/santiago/ipxon-santiago1/ | https://www.datacentermap.com/peru/lima/ipxon-lima/ | https://www.datacenters.com/providers/ipxon-networks
Telecom Argentina,Unknown,Argentina,4,0,0%,True,artificial intelligence,5,High,Yes,https://www.datacentermap.com/argentina/buenos-aires/telecom-argentina-datacenter/ | https://www.datacentermap.com/argentina/buenos-aires/telecom-estomba/ | https://www.datacentermap.com/argentina/cordoba/telecom-bosque-alegre/ | https://www.datacentermap.com/argentina/cordoba/telecom-cordoba-oeste/ | https://www.datacenters.com/telecom-argentina-s-a-telecom-pacheco
Advantun,Unknown,Argentina,3,0,0%,True,artificial intelligence,5,High,Yes,https://www.datacentermap.com/argentina/buenos-aires/advantun-benavidez/ | https://www.datacentermap.com/argentina/buenos-aires/advantun-talar/ | https://www.datacentermap.com/argentina/buenos-aires/advantun-zarate/ | https://www.datacenters.com/cirion-technologies-bue1
Ascenty Data Centers,Unknown,Chile,3,0,0%,True,artificial intelligence,5,High,Yes,https://www.datacentermap.com/chile/santiago/ascenty-santiago-scl3/ | https://www.datacentermap.com/chile/santiago/guacolda-2100-bldg-1/ | https://www.datacentermap.com/chile/santiago/guacolda-2100-bldg-2/ | https://www.datacenters.com/providers/ascenty
